MONTH, PRICE 
Mar-2020,1.75
Feb-2020,1.90
Jan-2020,2.09
Dec-2019,2.29
Nov-2019,2.54
Oct-2019,2.36
Sep-2019,
Aug-2019,2.36
Jul-2019,2.33
Jun-2019,2.50
May-2019,2.59
Apr-2019,2.73
Mar-2019,3.19
Feb-2019,2.70
Jan-2019,
Dec-2018,4.40
Nov-2018,3.36
Oct-2018,3.13
Sep-2018,
Aug-2018,2.80
Jul-2018,2.90
Jun-2018,2.91
May-2018,2.75
Apr-2018,2.75
Mar-2018,2.67
Feb-2018,3.06
Jan-2018,
Dec-2017,2.84
Nov-2017,2.68
Oct-2017,2.94
Sep-2017,2.88
Aug-2017,2.80
Jul-2017,2.98
Jun-2017,3.05
May-2017,3.20
Apr-2017,3.13
Mar-2017,2.54
Feb-2017,3.15
Jan-2017,3.71
Dec-2016,3.32
Nov-2016,2.53
Oct-2016,2.84
Sep-2016,2.95
Aug-2016,2.97
Jul-2016,2.89
Jun-2016,2.25
May-2016,1.91
Apr-2016,1.88
Mar-2016,1.57
Feb-2016,2.28
Jan-2016,2.28
Dec-2015,2.11
Nov-2015,1.92
Oct-2015,2.37
Sep-2015,2.70
Aug-2015,2.76
Jul-2015,2.78
Jun-2015,2.78
May-2015,2.68
Apr-2015,2.62
Mar-2015,2.79
Feb-2015,2.88
Jan-2015,
Dec-2014,4.30
Nov-2014,3.82
Oct-2014,4.14
Sep-2014,
Aug-2014,3.77
Jul-2014,4.47
Jun-2014,4.49
May-2014,4.79
Apr-2014,4.39
Mar-2014,7.09
Feb-2014,5.04
Jan-2014,
Dec-2013,3.85
Nov-2013,3.45
Oct-2013,3.56
Sep-2013,
Aug-2013,3.44
Jul-2013,3.52
Jun-2013,4.00
May-2013,4.31
Apr-2013,3.97
Mar-2013,3.54
Feb-2013,3.34
Jan-2013,
Dec-2012,3.44
Nov-2012,3.50
Oct-2012,3.19
Sep-2012,
Aug-2012,3.20
Jul-2012,2.73
Jun-2012,2.24
May-2012,2.29
Apr-2012,1.88
Mar-2012,2.45
Feb-2012,2.32
Jan-2012,
Dec-2011,3.49
Nov-2011,3.49
Oct-2011,3.57
Sep-2011,4.18
Aug-2011,4.29
Jul-2011,4.33
Jun-2011,4.62
May-2011,4.60
Apr-2011,4.32
Mar-2011,3.93
Feb-2011,4.42
Jan-2011,4.54
Dec-2010,4.21
Nov-2010,3.42
Oct-2010,3.67
Sep-2010,3.73
Aug-2010,4.94
Jul-2010,4.54
Jun-2010,4.39
May-2010,3.86
Apr-2010,3.72
Mar-2010,4.83
Feb-2010,5.30
Jan-2010,
Dec-2009,4.30
Nov-2009,4.32
Oct-2009,2.91
Sep-2009,2.36
Aug-2009,3.43
Jul-2009,3.63
Jun-2009,3.86
May-2009,3.30
Apr-2009,3.56
Mar-2009,4.36
Feb-2009,4.48
Jan-2009,
Dec-2008,6.48
Nov-2008,6.45
Oct-2008,7.41
Sep-2008,
Aug-2008,9.05
Jul-2008,13.28
Jun-2008,11.80
May-2008,10.66
Apr-2008,9.92
Mar-2008,9.07
Feb-2008,7.88
Jan-2008,
Dec-2007,6.97
Nov-2007,7.09
Oct-2007,6.07
Sep-2007,
Aug-2007,6.19
Jul-2007,6.24
Jun-2007,7.57
May-2007,7.64
Apr-2007,7.62
Mar-2007,7.07
Feb-2007,7.93
Jan-2007,
Dec-2006,8.42
Nov-2006,7.15
Oct-2006,4.11
Sep-2006,5.24
Aug-2006,8.66
Jul-2006,
Jun-2006,6.25
May-2006,6.53
Apr-2006,7.08
Mar-2006,6.62
Feb-2006,8.71
Jan-2006,
Dec-2005,12.58
Nov-2005,10.80
Oct-2005,
Sep-2005,11.36
Aug-2005,8.03
Jul-2005,7.01
Jun-2005,6.36
May-2005,6.50
Apr-2005,7.57
Mar-2005,6.63
Feb-2005,6.28
Jan-2005,5.53
Dec-2004,6.78
Nov-2004,6.98
Oct-2004,5.38
Sep-2004,5.02
Aug-2004,5.86
Jul-2004,5.95
Jun-2004,6.45
May-2004,5.80
Apr-2004,5.82
Mar-2004,5.17
Feb-2004,5.51
Jan-2004,
Dec-2003,5.02
Nov-2003,4.12
Oct-2003,4.47
Sep-2003,
Aug-2003,4.71
Jul-2003,5.22
Jun-2003,6.22
May-2003,5.32
Apr-2003,4.90
Mar-2003,8.51
Feb-2003,5.71
Jan-2003,
Dec-2002,4.23
Nov-2002,4.07
Oct-2002,4.41
Sep-2002,
Aug-2002,3.07
Jul-2002,3.28
Jun-2002,3.18
May-2002,3.79
Apr-2002,3.43
Mar-2002,2.51
Feb-2002,2.28
Jan-2002,
Dec-2001,2.10
Nov-2001,2.99
Oct-2001,1.74
Sep-2001,
Aug-2001,3.27
Jul-2001,2.92
Jun-2001,3.70
May-2001,4.55
Apr-2001,5.25
Mar-2001,5.25
Feb-2001,5.82
Jan-2001,
Dec-2000,6.53
Nov-2000,4.40
Oct-2000,5.24
Sep-2000,4.70
Aug-2000,3.78
Jul-2000,4.36
Jun-2000,4.39
May-2000,3.16
Apr-2000,2.92
Mar-2000,2.71
Feb-2000,2.81
Jan-2000,
Dec-1999,2.17
Nov-1999,2.73
Oct-1999,2.39
Sep-1999,2.71
Aug-1999,2.51
Jul-1999,2.29
Jun-1999,2.34
May-1999,2.23
Apr-1999,1.95
Mar-1999,1.65
Feb-1999,1.75
Jan-1999,
Dec-1998,1.41
Nov-1998,1.84
Oct-1998,2.33
Sep-1998,1.84
Aug-1998,1.84
Jul-1998,2.46
Jun-1998,2.10
May-1998,2.11
Apr-1998,2.45
Mar-1998,2.26
Feb-1998,2.23
Jan-1998,
Dec-1997,2.52
Nov-1997,3.23
Oct-1997,3.08
Sep-1997,
Aug-1997,2.24
Jul-1997,2.16
Jun-1997,2.20
May-1997,2.19
Apr-1997,1.95
Mar-1997,1.80
Feb-1997,2.49
